DWTR-WY-filter.str	DWTR-MN.str	DWTR-NC.str	DWTR-NC-filter-Ti.str	DWTR-TN.str	DWTR-TN-filter.str	DWTR-UT.str	DWTR-UT-filter.str	DWTR-WY.str	
197	124	121	83	116	69	192	78	398	
186	140	156	77	135	63	201	111	430	
208	97	160	63	112	73	239	102	505	
240	97	134	86	120	78	265	127	496	
268	104	150	94	124	65	248	117	521	
267	92	130	74	120	78	257	143	597	
276	102	162	67	120	70	289	143	597	
302	107	200	97	120	94	251	136	636	
309	86	168	97	155	89	256	157	671	
275	109	170	86	153	81	270	146	608	
284	145	152	89	153	92	274	146	729	
297	104	198	91	157	73	288	147	621	
312	94	150	97	129	95	267	152	673	
279	114	142	79	155	94	228	132	664	
281	125	178	114	127	96	214	133	631	
262	122	166	111	116	84	197	118	586	
266	119	156	110	120	103	216	138	548	
236	84	162	80	129	78	195	107	561	
227	86	146	94	122	102	162	101	406	
267	89	164	101	120	92	190	128	441	
232	99	182	84	129	89	176	95	395	
216	120	182	105	103	66	178	101	317	
224	91	162	94	118	87	159	94	342	
161	86	121	76	131	77	149	97	314	
225	96	130	98	122	107	149	79	280	
202	135	138	101	97	80	144	105	278	
189	87	144	94	95	58	131	105	285	
155	107	132	87	116	87	130	92	224	
187	92	119	80	122	58	126	112	283	
145	111	144	90	129	83	117	115	240	
168	86	150	80	122	73	136	110	249	
177	76	128	105	107	80	98	102	214	
165	94	142	89	125	84	146	123	230	
148	104	154	83	99	56	148	96	214	
187	87	162	90	82	52	129	99	240	
139	106	101	98	112	54	127	105	234	
168	99	97	83	88	80	158	116	252	
167	99	140	72	80	62	155	120	206	
161	82	123	91	94	77	139	109	240	
169	84	121	72	109	70	140	111	234	
202	89	148	81	94	74	150	122	273	
178	99	152	74	107	73	157	131	258	
234	96	115	84	94	84	178	123	262	
173	82	99	93	97	72	176	104	276	
180	94	111	80	94	72	164	123	279	
177	79	103	60	95	91	182	91	296	
174	101	138	100	95	69	176	133	285	
211	81	109	86	109	88	200	128	320	
208	106	125	98	94	77	174	123	289	
199	69	148	90	105	50	171	107	315	
174	71	164	98	103	59	158	92	332	
191	87	128	86	103	67	131	78	276	
174	91	132	100	94	58	157	97	329	
182	102	103	74	86	58	139	76	308	
154	96	125	65	97	63	146	72	262	
118	87	130	62	107	51	176	63	301	
133	81	119	45	125	36	160	65	296	
118	64	160	72	79	34	153	47	279	
103	104	146	30	79	43	150	53	265	
87	99	148	31	99	28	157	30	287	
102	68	123	32	107	26	159	48	251	
65	81	158	38	94	18	153	41	271	
60	79	125	37	82	34	145	26	249	
46	96	121	15	101	19	140	27	219	
55	79	138	13	90	17	135	15	242	
55	63	144	21	92	8	152	12	199	
39	86	144	8	94	17	158	17	234	
34	79	130	18	94	26	139	15	209	
34	99	132	13	120	15	115	16	213	
21	92	111	8	94	8	110	20	207	
23	87	125	11	118	7	124	11	214	
18	81	144	17	122	7	155	9	206	
18	74	136	8	116	6	127	18	205	
18	81	132	7	95	11	127	15	167	
21	76	130	14	97	11	125	9	195	
21	94	152	7	79	3	155	15	244	
21	79	125	6	129	8	132	12	202	
13	74	146	8	92	8	134	9	210	
18	69	125	10	101	12	167	15	223	
29	79	125	3	95	6	136	12	231	
18	58	130	7	105	11	132	14	217	
25	58	136	7	105	7	112	6	202	
23	69	144	7	133	4	177	6	233	
25	73	134	8	131	8	120	7	209	
22	49	134	10	110	8	120	7	217	
20	56	103	14	103	12	132	11	192	
33	61	142	18	112	11	138	10	227	
21	76	121	3	109	8	145	10	231	
31	61	123	4	82	4	120	5	221	
22	68	140	15	118	6	132	9	202	
20	73	130	8	79	10	132	12	217	
22	76	113	8	75	6	125	9	219	
26	94	113	6	99	8	148	16	230	
16	71	140	13	79	11	93	7	199	
27	76	113	4	94	7	127	6	247	
31	91	134	11	95	7	154	6	231	
23	59	128	6	97	7	166	4	262	
31	68	99	7	120	12	148	14	251	
33	63	125	8	131	8	131	10	237	
25	78	117	11	84	14	153	11	247	
22	71	146	10	94	10	157	7	228	
