DWTR-TX.str	DWTR-AR.str	DWTR-FL.str	DWTR-IL.str	DWTR-KS.str	DWTR-ME.str	DWTR-OR.str	DWTR-PA.str	
136	102	101	3545	129	154	135	132	
97	79	87	2900	124	163	173	146	
108	88	95	2500	124	128	147	112	
125	96	109	2348	121	146	156	129	
115	98	98	2172	117	131	134	135	
137	102	118	2196	131	171	156	135	
130	103	101	2318	133	131	131	140	
134	132	102	2530	154	154	157	154	
131	102	95	2666	166	185	176	157	
130	104	141	2898	160	166	178	167	
141	122	126	3122	187	199	149	163	
178	109	127	3446	178	199	192	186	
145	119	134	3583	167	198	165	175	
172	92	148	4002	180	209	177	194	
155	139	140	3926	214	217	209	186	
171	125	143	4200	176	203	200	189	
154	109	148	4010	183	185	201	189	
164	132	148	4284	207	209	167	208	
153	114	140	4021	187	164	204	177	
128	125	119	3807	169	169	202	161	
143	129	112	3631	183	164	174	170	
134	115	119	3474	160	186	167	145	
124	103	119	2997	131	164	177	174	
144	98	96	2686	155	169	155	140	
117	102	100	2430	134	143	155	157	
108	106	108	2002	129	149	186	139	
86	99	106	1723	99	146	123	152	
101	99	95	1433	105	126	128	136	
108	84	105	1177	82	121	153	124	
111	98	100	950	82	123	152	113	
97	81	100	798	82	129	108	112	
119	76	98	602	81	120	126	114	
82	87	87	446	88	108	115	124	
84	99	103	381	83	114	114	123	
94	96	81	318	92	114	112	111	
88	87	100	239	93	134	148	105	
98	67	116	215	76	97	107	114	
94	70	112	145	79	119	114	118	
103	94	98	123	67	107	164	101	
113	101	112	82	86	124	157	120	
111	94	95	70	87	108	140	126	
94	103	98	87	86	102	165	129	
126	102	113	65	89	132	137	107	
103	97	98	77	88	101	168	120	
111	102	92	75	76	111	161	113	
132	113	121	36	97	118	159	96	
134	103	93	57	112	119	143	111	
143	114	105	44	101	145	190	123	
139	78	86	59	105	130	197	120	
156	83	104	52	102	135	247	139	
162	115	106	67	143	159	258	132	
167	128	103	65	133	139	280	119	
147	107	134	72	165	157	296	136	
179	101	141	54	168	169	332	164	
200	101	137	66	190	168	407	146	
241	113	119	62	239	171	471	162	
254	150	125	65	205	148	476	154	
300	139	141	83	267	179	566	193	
313	155	157	69	278	199	634	182	
283	150	166	67	328	232	677	182	
351	141	152	52	318	207	753	195	
331	180	168	92	352	253	872	219	
373	154	182	67	337	270	871	210	
394	153	191	67	352	248	861	202	
408	171	187	65	338	243	863	175	
408	163	212	80	333	222	957	214	
371	141	191	67	340	265	866	208	
328	155	198	53	326	237	961	187	
354	168	191	72	329	221	875	215	
348	138	142	66	302	217	818	202	
329	159	156	66	245	232	724	186	
304	150	147	59	251	220	739	187	
281	135	145	66	231	185	673	181	
276	137	131	80	240	173	640	185	
250	168	120	60	168	174	535	158	
228	155	129	59	183	162	506	167	
204	122	121	65	168	137	443	170	
193	129	135	65	151	152	404	161	
149	128	121	53	132	158	369	168	
154	118	111	62	118	143	358	204	
147	140	119	59	101	117	282	182	
139	148	110	46	99	136	272	215	
147	132	97	69	111	115	263	211	
137	122	100	66	105	146	218	192	
134	132	106	69	96	128	217	210	
138	115	114	57	80	142	210	186	
143	125	112	49	83	117	163	196	
134	99	104	69	75	151	185	199	
136	118	114	65	82	118	171	208	
153	103	104	50	81	145	164	185	
124	124	118	69	92	141	192	175	
137	119	105	53	103	148	151	152	
110	122	95	57	109	131	182	156	
145	109	102	46	96	113	163	165	
132	101	105	57	95	158	159	174	
149	129	112	59	87	120	185	158	
141	119	104	49	107	129	200	131	
150	102	98	46	122	157	188	148	
131	102	111	49	96	136	221	146	
153	130	128	52	125	137	272	164	
159	113	124	70	123	120	258	157	
149	127	114	52	104	139	231	146	
150	103	114	63	102	147	243	130	
142	113	128	53	160	142	270	143	
164	134	133	52	125	165	275	157	
174	112	112	73	144	164	296	137	
202	125	113	56	144	164	280	177	
171	115	125	56	131	163	323	144	
166	125	116	54	132	169	283	123	
160	132	140	56	155	131	307	127	
160	112	123	62	116	176	312	119	
172	137	128	39	127	157	264	140	
162	115	128	44	131	154	286	135	
139	98	139	70	119	129	279	164	
156	98	124	42	125	163	231	135	
139	92	134	42	122	128	217	138	
125	119	161	47	94	166	242	133	
137	113	124	67	95	149	194	152	
127	108	137	42	105	170	210	119	
130	128	125	56	94	185	202	136	
113	92	111	52	89	139	182	140	
138	113	114	54	70	124	164	132	
105	99	113	50	85	160	163	118	
96	112	116	65	88	160	157	139	
104	119	111	54	90	135	153	132	
121	114	135	52	82	154	151	140	
109	114	132	43	103	165	132	132	
120	112	133	59	93	174	190	124	
111	119	120	47	95	168	164	149	
122	97	124	63	88	160	136	129	
114	81	139	47	75	179	163	135	
134	101	136	46	96	176	132	155	
125	114	160	53	101	154	143	145	
138	96	147	36	109	165	137	130	
137	106	123	49	88	179	156	136	
104	107	169	60	90	169	149	143	
114	115	149	37	90	165	147	124	
142	93	160	32	92	180	161	146	
130	117	155	34	90	173	132	130	
111	118	172	42	88	151	143	151	
108	115	173	47	96	128	148	148	
154	99	159	44	92	185	157	148	
159	108	168	40	124	185	152	114	
133	132	168	37	121	154	171	173	
134	115	166	54	94	152	122	137	
159	119	180	54	111	170	148	157	
119	141	181	42	108	175	168	164	
151	115	193	52	115	182	194	165	
133	139	143	53	99	171	178	151	
128	128	183	39	112	174	169	146	
134	137	174	49	105	168	157	145	
138	149	184	59	100	183	173	145	
148	125	151	62	125	175	167	157	
131	127	185	46	122	166	186	152	
144	123	168	54	112	181	163	137	
143	115	175	49	102	177	163	157	
132	127	163	37	121	154	172	150	
147	161	179	43	109	166	189	143	
165	125	152	52	100	187	178	143	
114	137	141	47	117	162	152	156	
136	137	143	69	118	164	156	144	
117	144	131	44	110	173	185	148	
98	133	131	60	119	179	181	142	
164	151	155	46	114	177	180	137	
134	141	134	52	96	146	177	148	
154	144	135	59	99	153	169	148	
127	103	118	52	102	156	157	167	
131	135	124	62	125	149	169	142	
