#energy (keV)	DWTR-WY-filter.str	DWTR-MN.str	DWTR-NC.str	DWTR-NC-filter-Ti.str	DWTR-TN.str	DWTR-TN-filter.str	DWTR-UT.str	DWTR-UT-filter.str	DWTR-WY.str
3.14	53	419	526	117	488	139	205	27	353
3.15	44	384	494	142	464	140	168	33	292
3.16	56	374	492	132	470	153	180	36	338
3.17	59	421	536	143	481	118	172	39	336
3.18	72	417	609	138	479	128	172	31	336
3.19	96	401	490	135	511	150	219	35	404
3.2	113	460	526	163	503	160	199	43	416
3.21	131	389	548	142	535	157	210	38	488
3.22	152	422	617	139	603	194	215	68	493
3.23	171	434	569	160	543	196	243	68	548
3.24	213	462	640	169	625	207	303	63	681
3.25	254	491	629	173	623	256	270	91	678
3.26	305	462	686	188	717	218	330	85	859
3.27	289	521	631	191	726	278	339	118	922
3.28	355	584	729	221	801	251	388	122	1041
3.29	448	561	793	273	790	256	372	141	1051
3.3	441	590	818	249	911	343	413	138	1231
3.31	512	609	876	289	924	359	451	132	1312
3.32	575	691	998	309	1039	401	495	169	1317
3.33	516	759	976	327	1099	439	497	150	1409
3.34	556	754	1097	395	1241	467	536	178	1358
3.35	492	816	1293	454	1308	548	548	147	1393
3.36	542	950	1457	475	1443	560	508	196	1348
3.37	457	948	1542	533	1469	536	513	159	1270
3.38	514	1154	1662	538	1755	611	511	143	1333
3.39	427	1225	1979	680	1881	671	489	152	1240
3.4	436	1470	2097	752	2079	771	512	150	1169
3.41	341	1601	2200	759	2186	723	436	148	997
3.42	349	1707	2649	929	2380	867	486	168	984
3.43	225	2001	2787	1005	2637	931	441	126	884
3.44	290	2025	3279	1090	2931	987	486	144	789
3.45	230	2436	3410	1165	3266	1107	446	133	673
3.46	203	2510	3961	1296	3584	1209	536	139	664
3.47	174	2759	4192	1371	3820	1323	481	126	605
3.48	150	3059	4734	1527	4226	1476	536	169	577
3.49	131	3181	5206	1717	4463	1582	507	159	570
3.5	148	3653	5795	1877	4997	1725	563	200	537
3.51	156	3840	6080	2016	5408	1845	616	180	614
3.52	155	4503	7076	2266	6181	2102	637	203	552
3.53	177	4867	7134	2443	6657	2302	745	253	505
3.54	210	5504	8418	2954	7450	2697	826	270	561
3.55	213	5787	9195	3219	8210	3014	903	318	582
3.56	221	6853	10324	3719	9078	3540	1052	393	697
3.57	238	7478	11332	4291	9934	4012	1248	491	751
3.58	281	8771	13044	5313	11741	4887	1442	578	797
3.59	340	9620	14279	6115	12505	5607	1709	654	861
3.6	424	11202	16386	7097	14869	6767	2148	879	1018
3.61	460	13133	18284	8536	16976	8143	2330	1049	1109
3.62	574	15259	21618	10091	19238	9631	2872	1222	1254
3.63	608	17538	23022	11429	21398	10932	3297	1413	1425
3.64	752	19932	26688	13652	24988	13090	3924	1713	1643
3.65	795	22653	28752	15466	27643	14492	4455	1874	1755
3.66	903	25732	33140	17872	31087	16948	4975	2201	1916
3.67	980	27805	35892	19091	33862	18395	5272	2402	2167
3.68	1062	31191	39780	21164	38131	20846	5855	2554	2282
3.69	1105	32410	42237	22479	39400	21025	6045	2713	2373
3.7	1130	36528	46387	24272	43565	23167	6432	2882	2478
3.71	1164	36584	47981	24502	44982	22904	6390	2909	2565
3.72	1099	38690	50451	25579	47587	24120	6449	2873	2748
3.73	1169	38255	49841	24636	47273	22915	6437	2666	2463
3.74	1071	39113	52531	24747	49064	22980	6244	2665	2439
3.75	993	37206	50722	23127	46638	21430	5734	2391	2500
3.76	932	36325	50570	22180	47299	20895	5557	2269	2258
3.77	876	34556	48918	20808	44569	18551	4857	2041	2128
3.78	793	32626	46459	18774	42171	17452	4453	1784	1889
3.79	670	28829	42488	16368	38617	15137	3769	1583	1765
3.8	651	26689	40226	14706	35677	13411	3395	1392	1603
3.81	543	23189	35443	12459	31487	11264	2805	1116	1351
3.82	409	20105	32241	10797	28661	9773	2375	964	1198
3.83	372	16824	28268	8830	24443	8216	1938	773	985
3.84	329	15022	24668	7368	21419	6759	1617	644	884
3.85	224	12285	20563	5913	17829	5334	1331	512	681
3.86	180	10458	17869	5029	15585	4472	1130	427	577
3.87	161	8542	15119	3913	12731	3592	932	328	517
3.88	155	7117	12633	3350	10574	3022	759	297	430
3.89	118	5644	10340	2798	8654	2423	643	236	391
3.9	118	4885	9164	2375	7579	2215	629	213	397
3.91	111	4100	7642	2092	6524	2069	576	224	336
3.92	120	3841	6651	1962	5807	1954	623	233	335
3.93	108	3525	5958	1949	5146	1864	632	261	301
3.94	131	3567	5631	2112	4825	1946	662	263	321
3.95	147	3515	5343	2116	4817	2042	663	275	307
3.96	139	3604	5489	2373	4866	2305	751	316	332
3.97	151	4095	5578	2553	5115	2427	723	314	363
3.98	181	4092	5871	2841	5212	2675	810	375	398
3.99	184	4372	6086	2987	5732	2854	913	377	381
4	219	4870	6671	3409	6120	3143	993	396	439
4.01	181	4954	6800	3334	6170	3254	1025	382	467
4.02	204	5518	7317	3790	6683	3565	1007	476	468
4.03	237	5327	7335	3691	6866	3545	973	445	491
4.04	220	5913	7663	3844	7145	3602	1067	496	503
4.05	208	5413	7262	3673	7134	3317	1000	445	437
4.06	206	5436	8199	3639	7461	3529	1042	439	516
4.07	195	5509	7740	3391	6859	3252	965	402	485
4.08	154	5349	7691	3268	6904	3137	997	382	453
4.09	163	5126	7153	3183	6653	2904	846	388	392
4.1	143	4872	7041	2820	6292	2736	784	319	420
4.11	115	4087	6471	2488	5901	2298	658	268	406
4.12	141	3985	5914	2288	5375	1886	624	279	314
4.13	134	3534	5214	1966	4804	1804	583	210	322
4.14	122	3117	4878	1769	4377	1553	481	170	297
4.15	100	2673	4139	1439	3805	1294	397	171	248
4.16	70	2251	3730	1203	3241	1006	371	152	268
4.17	79	1831	3004	958	2744	862	275	132	241
4.18	94	1519	2655	760	2440	720	243	120	230
4.19	91	1194	2311	610	1973	584	186	97	185
4.2	76	1098	1898	464	1594	442	229	83	184
4.21	79	802	1522	364	1200	350	178	72	184
4.22	79	650	1237	333	1007	288	162	51	195
4.23	64	458	949	194	831	194	136	51	143
4.24	68	402	856	197	631	169	144	67	158
4.25	72	336	640	148	460	134	139	62	181
4.26	70	241	516	98	389	116	116	78	154
4.27	79	203	445	98	331	95	115	67	175
4.28	73	209	389	67	309	61	129	54	196
4.29	69	147	285	65	210	74	112	51	202
4.3	81	139	289	52	182	48	117	68	178
4.31	72	124	231	77	187	70	118	67	174
4.32	72	125	227	63	163	55	104	73	220
4.33	79	127	188	60	176	73	139	57	167
4.34	103	78	206	69	146	65	103	75	212
4.35	99	86	166	58	155	40	117	68	191
4.36	120	104	186	55	129	55	158	65	226
4.37	113	112	117	55	110	55	127	69	245
4.38	112	139	196	84	129	59	149	76	268
4.39	102	122	200	49	124	58	164	76	228
4.4	145	111	192	65	109	67	167	59	311
4.41	159	102	148	70	122	72	164	64	285
4.42	148	106	148	70	146	47	174	78	321
4.43	176	94	148	69	148	41	199	97	363
4.44	197	124	121	83	116	69	192	78	398
4.45	186	140	156	77	135	63	201	111	430
4.46	208	97	160	63	112	73	239	102	505
4.47	240	97	134	86	120	78	265	127	496
4.48	268	104	150	94	124	65	248	117	521
4.49	267	92	130	74	120	78	257	143	597
4.5	276	102	162	67	120	70	289	143	597
4.51	302	107	200	97	120	94	251	136	636
4.52	309	86	168	97	155	89	256	157	671
4.53	275	109	170	86	153	81	270	146	608
4.54	284	145	152	89	153	92	274	146	729
4.55	297	104	198	91	157	73	288	147	621
4.56	312	94	150	97	129	95	267	152	673
4.57	279	114	142	79	155	94	228	132	664
4.58	281	125	178	114	127	96	214	133	631
4.59	262	122	166	111	116	84	197	118	586
4.6	266	119	156	110	120	103	216	138	548
4.61	236	84	162	80	129	78	195	107	561
4.62	227	86	146	94	122	102	162	101	406
4.63	267	89	164	101	120	92	190	128	441
4.64	232	99	182	84	129	89	176	95	395
4.65	216	120	182	105	103	66	178	101	317
4.66	224	91	162	94	118	87	159	94	342
4.67	161	86	121	76	131	77	149	97	314
4.68	225	96	130	98	122	107	149	79	280
4.69	202	135	138	101	97	80	144	105	278
4.7	189	87	144	94	95	58	131	105	285
4.71	155	107	132	87	116	87	130	92	224
4.72	187	92	119	80	122	58	126	112	283
4.73	145	111	144	90	129	83	117	115	240
4.74	168	86	150	80	122	73	136	110	249
4.75	177	76	128	105	107	80	98	102	214
4.76	165	94	142	89	125	84	146	123	230
4.77	148	104	154	83	99	56	148	96	214
4.78	187	87	162	90	82	52	129	99	240
4.79	139	106	101	98	112	54	127	105	234
4.8	168	99	97	83	88	80	158	116	252
4.81	167	99	140	72	80	62	155	120	206
4.82	161	82	123	91	94	77	139	109	240
4.83	169	84	121	72	109	70	140	111	234
4.84	202	89	148	81	94	74	150	122	273
4.85	178	99	152	74	107	73	157	131	258
4.86	234	96	115	84	94	84	178	123	262
4.87	173	82	99	93	97	72	176	104	276
4.88	180	94	111	80	94	72	164	123	279
4.89	177	79	103	60	95	91	182	91	296
4.9	174	101	138	100	95	69	176	133	285
4.91	211	81	109	86	109	88	200	128	320
4.92	208	106	125	98	94	77	174	123	289
4.93	199	69	148	90	105	50	171	107	315
4.94	174	71	164	98	103	59	158	92	332
4.95	191	87	128	86	103	67	131	78	276
4.96	174	91	132	100	94	58	157	97	329
4.97	182	102	103	74	86	58	139	76	308
4.98	154	96	125	65	97	63	146	72	262
4.99	118	87	130	62	107	51	176	63	301
5	133	81	119	45	125	36	160	65	296
5.01	118	64	160	72	79	34	153	47	279
5.02	103	104	146	30	79	43	150	53	265
5.03	87	99	148	31	99	28	157	30	287
5.04	102	68	123	32	107	26	159	48	251
5.05	65	81	158	38	94	18	153	41	271
5.06	60	79	125	37	82	34	145	26	249
5.07	46	96	121	15	101	19	140	27	219
5.08	55	79	138	13	90	17	135	15	242
5.09	55	63	144	21	92	8	152	12	199
5.1	39	86	144	8	94	17	158	17	234
5.11	34	79	130	18	94	26	139	15	209
5.12	34	99	132	13	120	15	115	16	213
5.13	21	92	111	8	94	8	110	20	207
5.14	23	87	125	11	118	7	124	11	214
5.15	18	81	144	17	122	7	155	9	206
5.16	18	74	136	8	116	6	127	18	205
5.17	18	81	132	7	95	11	127	15	167
5.18	21	76	130	14	97	11	125	9	195
5.19	21	94	152	7	79	3	155	15	244
5.2	21	79	125	6	129	8	132	12	202
5.21	13	74	146	8	92	8	134	9	210
5.22	18	69	125	10	101	12	167	15	223
5.23	29	79	125	3	95	6	136	12	231
5.24	18	58	130	7	105	11	132	14	217
5.25	25	58	136	7	105	7	112	6	202
5.26	23	69	144	7	133	4	177	6	233
5.27	25	73	134	8	131	8	120	7	209
5.28	22	49	134	10	110	8	120	7	217
5.29	20	56	103	14	103	12	132	11	192
5.3	33	61	142	18	112	11	138	10	227
5.31	21	76	121	3	109	8	145	10	231
5.32	31	61	123	4	82	4	120	5	221
5.33	22	68	140	15	118	6	132	9	202
5.34	20	73	130	8	79	10	132	12	217
5.35	22	76	113	8	75	6	125	9	219
5.36	26	94	113	6	99	8	148	16	230
5.37	16	71	140	13	79	11	93	7	199
5.38	27	76	113	4	94	7	127	6	247
5.39	31	91	134	11	95	7	154	6	231
5.4	23	59	128	6	97	7	166	4	262
5.41	31	68	99	7	120	12	148	14	251
5.42	33	63	125	8	131	8	131	10	237
5.43	25	78	117	11	84	14	153	11	247
5.44	22	71	146	10	94	10	157	7	228
5.45	33	96	107	3	95	8	136	9	217
5.46	27	74	160	6	105	11	138	4	252
5.47	26	73	132	7	99	14	131	21	241
5.48	25	84	142	18	110	10	130	12	237
5.49	29	58	125	6	101	14	134	17	217
5.5	26	82	136	7	86	6	155	20	233
5.51	21	79	138	15	112	11	132	10	235
5.52	22	84	117	6	116	18	135	22	206
5.53	21	69	152	4	110	11	157	22	210
5.54	18	73	121	6	110	14	155	15	198
5.55	39	91	125	7	107	10	153	32	223
5.56	23	91	107	22	103	17	171	33	206
5.57	25	59	119	6	107	15	171	27	216
5.58	17	81	140	17	110	10	167	25	181
5.59	21	79	154	13	105	19	201	28	203
5.6	18	81	125	8	114	10	157	38	219
5.61	20	63	109	4	99	15	208	33	202
5.62	16	79	101	11	163	19	209	35	191
5.63	16	86	154	13	129	28	190	38	193
5.64	16	109	136	8	150	26	232	30	227
5.65	26	87	136	10	153	19	253	52	189
5.66	21	71	119	13	187	25	227	53	205
5.67	25	92	136	4	161	30	224	58	193
5.68	23	79	123	11	185	33	270	58	175
5.69	27	114	156	13	191	41	265	83	233
5.7	18	74	166	17	200	40	318	112	238
5.71	21	82	148	7	240	36	280	105	227
5.72	18	87	144	22	189	58	373	127	285
5.73	23	97	148	7	195	52	408	139	262
5.74	33	91	152	13	204	45	404	153	247
5.75	35	78	158	21	213	65	475	184	252
5.76	43	89	148	17	236	81	532	258	244
5.77	40	84	150	18	262	103	576	281	266
5.78	59	74	130	21	281	131	674	317	280
