twotheta, intensity, esd
45.576, 227.31081243, 14.8903495302
45.577, 225.736621418, 14.8190699072
45.578, 255.877314216, 15.8066290329
45.579, 269.405941689, 16.1853841091
45.58, 219.152031555, 14.6089256677
45.581, 199.995199266, 13.9672168115
45.582, 229.744282173, 14.953780075
45.583, 221.659748583, 14.7108451986
45.584, 249.111086321, 15.5679760599
45.585, 230.209037138, 14.9840304189
45.586, 231.667417386, 15.0154529713
45.587, 239.043650849, 15.2705616739
45.588, 227.462787535, 14.9003048966
45.589, 229.897554596, 14.9637563934
45.59, 223.655675229, 14.7783374713
45.591, 221.450394905, 14.6969510678
45.592, 250.88945332, 15.648573923
45.593, 249.487010835, 15.5914691284
45.594, 218.8262255, 14.6197369143
45.595, 219.166709955, 14.6099041467
45.596, 253.508302029, 15.7204131341
45.597, 250.276590379, 15.6408132007
45.598, 251.734737415, 15.6708321298
45.599, 223.677305836, 14.7797667417
45.6, 248.504942247, 15.5605227239
45.601, 240.006102087, 15.2698344218
45.602, 249.880385891, 15.5856359794
45.603, 217.807925532, 14.5517044946
45.604, 230.877434019, 14.9957928767
45.605, 215.582112411, 14.4677419125
45.606, 257.567295724, 15.8206901425
45.607, 228.398194797, 14.8977669041
45.608, 240.257159196, 15.2858073511
45.609, 262.862985904, 15.9957423053
45.61, 243.895514176, 15.3931263195
45.611, 251.067043546, 15.6292672721
45.612, 250.382162941, 15.5866325166
45.613, 225.90650366, 14.8302222705
45.614, 242.556088617, 15.3391826078
45.615, 229.491123138, 14.9373022567
45.616, 245.255417852, 15.4482063227
45.617, 274.387308898, 16.337830727
45.618, 234.986970712, 15.1354989144
45.619, 278.007854208, 16.43721878
45.62, 270.875056462, 16.2443441679
45.621, 240.153719157, 15.2792262173
45.622, 239.967623126, 15.2673862867
45.623, 258.174632287, 15.8579948925
45.624, 248.453665257, 15.5573119356
45.625, 249.393424545, 15.5856205364
45.626, 275.002120519, 16.3454767051
45.627, 243.380901676, 15.3913435666
45.628, 247.634779028, 15.5060361032
45.629, 248.824730306, 15.5500804951
45.63, 270.344737192, 16.2125409859
45.631, 272.386229109, 16.2765132998
45.632, 245.226535623, 15.446387082
45.633, 298.826679206, 17.0530125036
45.634, 262.583894749, 16.0084376828
45.635, 258.415094466, 15.8428949763
45.636, 277.627890625, 16.4435320756
45.637, 292.526223971, 16.8590634873
